game_1|NC A&T/Liberty
game_2|Missouri
game_3|New Mexico State
game_4|Oklahoma State
game_5|Valparaiso
game_6|Middle Tenn/St Marys
game_7|Cincinnati
game_8|Duke
game_9|Southern
game_10|Wichita State
game_11|Kansas State
game_12|Wisconsin
game_13|New Mexico
game_14|Arizona
game_15|Notre Dame
game_16|Iona
game_17|Kansas
game_18|Villanova
game_19|Michigan
game_20|VCU
game_21|Florida
game_22|Minnesota
game_23|San Diego State
game_24|Florida GC
game_25|Indiana
game_26|NC State
game_27|Syracuse
game_28|California
game_29|Marquette
game_30|Butler
game_31|Colorado
game_32|Miami
game_33|Missouri
game_34|Oklahoma State
game_35|Valparaiso
game_36|Cincinnati
game_37|Wichita State
game_38|Wisconsin
game_39|Arizona
game_40|Iona
game_41|Kansas
game_42|Michigan
game_43|Minnesota
game_44|San Diego State
game_45|NC State
game_46|Syracuse
game_47|Marquette
game_48|Colorado
game_49|Oklahoma State
game_50|Cincinnati
game_51|Wisconsin
game_52|Iona
game_53|Michigan
game_54|Minnesota
game_55|NC State
game_56|Colorado
game_57|Cincinnati
game_58|Iona
game_59|Minnesota
game_60|NC State
game_61|Iona
game_62|NC State
game_63|NC State
name|Alejandro the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
