game_1|Louisville
game_2|Missouri
game_3|Saint Louis
game_4|Oregon
game_5|Michigan State
game_6|Memphis
game_7|Cincinnati
game_8|Duke
game_9|Gonzaga
game_10|Wichita State
game_11|Kansas State
game_12|Wisconsin
game_13|Harvard
game_14|Arizona
game_15|Notre Dame
game_16|Ohio State
game_17|Western Kentucky
game_18|North Carolina
game_19|Michigan
game_20|Akron
game_21|Florida
game_22|UCLA
game_23|San Diego State
game_24|Georgetown
game_25|Indiana
game_26|NC State
game_27|Montana
game_28|UNLV
game_29|Davidson
game_30|Butler
game_31|Illinois
game_32|Pacific
game_33|Missouri
game_34|Oregon
game_35|Memphis
game_36|Duke
game_37|Wichita State
game_38|Kansas State
game_39|Harvard
game_40|Notre Dame
game_41|North Carolina
game_42|Michigan
game_43|Florida
game_44|San Diego State
game_45|Indiana
game_46|UNLV
game_47|Davidson
game_48|Illinois
game_49|Missouri
game_50|Duke
game_51|Kansas State
game_52|Notre Dame
game_53|Michigan
game_54|Florida
game_55|Indiana
game_56|Illinois
game_57|Missouri
game_58|Notre Dame
game_59|Michigan
game_60|Indiana
game_61|Notre Dame
game_62|Indiana
game_63|Notre Dame
name|Alfredo the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
