game_1|NC A&T/Liberty
game_2|Missouri
game_3|New Mexico State
game_4|Oregon
game_5|Valparaiso
game_6|Middle Tenn/St Marys
game_7|Cincinnati
game_8|Albany
game_9|Southern
game_10|Wichita State
game_11|Boise State/La Salle
game_12|Ole Miss
game_13|New Mexico
game_14|Belmont
game_15|Iowa State
game_16|Iona
game_17|Western Kentucky
game_18|North Carolina
game_19|South Dakota State
game_20|Akron
game_21|Florida
game_22|UCLA
game_23|Oklahoma
game_24|Florida GC
game_25|Indiana
game_26|NC State
game_27|Montana
game_28|UNLV
game_29|Davidson
game_30|Butler
game_31|Colorado
game_32|Pacific
game_33|Missouri
game_34|New Mexico State
game_35|Valparaiso
game_36|Cincinnati
game_37|Wichita State
game_38|Ole Miss
game_39|New Mexico
game_40|Iowa State
game_41|North Carolina
game_42|South Dakota State
game_43|Florida
game_44|Oklahoma
game_45|Indiana
game_46|Montana
game_47|Butler
game_48|Colorado
game_49|New Mexico State
game_50|Cincinnati
game_51|Ole Miss
game_52|New Mexico
game_53|South Dakota State
game_54|Florida
game_55|Montana
game_56|Butler
game_57|New Mexico State
game_58|Ole Miss
game_59|South Dakota State
game_60|Montana
game_61|New Mexico State
game_62|South Dakota State
game_63|New Mexico State
name|Amara the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
