game_1|Louisville
game_2|Colorado State
game_3|New Mexico State
game_4|Oregon
game_5|Michigan State
game_6|Middle Tenn/St Marys
game_7|Cincinnati
game_8|Duke
game_9|Southern
game_10|Wichita State
game_11|Kansas State
game_12|Wisconsin
game_13|Harvard
game_14|Arizona
game_15|Notre Dame
game_16|Ohio State
game_17|Western Kentucky
game_18|North Carolina
game_19|South Dakota State
game_20|VCU
game_21|Florida
game_22|Minnesota
game_23|San Diego State
game_24|Florida GC
game_25|Indiana
game_26|Temple
game_27|Montana
game_28|California
game_29|Marquette
game_30|Butler
game_31|Illinois
game_32|Miami
game_33|Colorado State
game_34|New Mexico State
game_35|Michigan State
game_36|Cincinnati
game_37|Southern
game_38|Kansas State
game_39|Arizona
game_40|Notre Dame
game_41|North Carolina
game_42|South Dakota State
game_43|Minnesota
game_44|Florida GC
game_45|Temple
game_46|Montana
game_47|Marquette
game_48|Miami
game_49|Colorado State
game_50|Cincinnati
game_51|Kansas State
game_52|Notre Dame
game_53|North Carolina
game_54|Minnesota
game_55|Temple
game_56|Miami
game_57|Cincinnati
game_58|Notre Dame
game_59|North Carolina
game_60|Miami
game_61|Cincinnati
game_62|Miami
game_63|Miami
name|Amari the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
