game_1|Louisville
game_2|Missouri
game_3|New Mexico State
game_4|Oklahoma State
game_5|Michigan State
game_6|Middle Tenn/St Marys
game_7|Cincinnati
game_8|Albany
game_9|Southern
game_10|Wichita State
game_11|Boise State/La Salle
game_12|Wisconsin
game_13|New Mexico
game_14|Belmont
game_15|Iowa State
game_16|Ohio State
game_17|Kansas
game_18|North Carolina
game_19|Michigan
game_20|VCU
game_21|Florida
game_22|UCLA
game_23|Oklahoma
game_24|Georgetown
game_25|Indiana
game_26|NC State
game_27|Syracuse
game_28|California
game_29|Marquette
game_30|Bucknell
game_31|Colorado
game_32|Miami
game_33|Missouri
game_34|New Mexico State
game_35|Middle Tenn/St Marys
game_36|Cincinnati
game_37|Southern
game_38|Wisconsin
game_39|Belmont
game_40|Iowa State
game_41|North Carolina
game_42|Michigan
game_43|Florida
game_44|Georgetown
game_45|NC State
game_46|California
game_47|Bucknell
game_48|Colorado
game_49|Missouri
game_50|Middle Tenn/St Marys
game_51|Southern
game_52|Iowa State
game_53|Michigan
game_54|Georgetown
game_55|California
game_56|Colorado
game_57|Middle Tenn/St Marys
game_58|Iowa State
game_59|Georgetown
game_60|Colorado
game_61|Iowa State
game_62|Colorado
game_63|Iowa State
name|Annabella the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
