game_1|Louisville
game_2|Colorado State
game_3|Saint Louis
game_4|Oklahoma State
game_5|Michigan State
game_6|Middle Tenn/St Marys
game_7|Creighton
game_8|Duke
game_9|Gonzaga
game_10|Wichita State
game_11|Boise State/La Salle
game_12|Wisconsin
game_13|New Mexico
game_14|Belmont
game_15|Notre Dame
game_16|Ohio State
game_17|Western Kentucky
game_18|North Carolina
game_19|Michigan
game_20|VCU
game_21|Florida
game_22|UCLA
game_23|Oklahoma
game_24|Georgetown
game_25|Indiana
game_26|Temple
game_27|Montana
game_28|California
game_29|Davidson
game_30|Butler
game_31|Colorado
game_32|Miami
game_33|Colorado State
game_34|Oklahoma State
game_35|Middle Tenn/St Marys
game_36|Duke
game_37|Wichita State
game_38|Boise State/La Salle
game_39|Belmont
game_40|Ohio State
game_41|Western Kentucky
game_42|Michigan
game_43|Florida
game_44|Georgetown
game_45|Indiana
game_46|Montana
game_47|Davidson
game_48|Colorado
game_49|Oklahoma State
game_50|Duke
game_51|Wichita State
game_52|Ohio State
game_53|Western Kentucky
game_54|Florida
game_55|Indiana
game_56|Colorado
game_57|Duke
game_58|Wichita State
game_59|Florida
game_60|Colorado
game_61|Wichita State
game_62|Colorado
game_63|Colorado
name|Anya the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
