game_1|Louisville
game_2|Colorado State
game_3|Saint Louis
game_4|Oregon
game_5|Valparaiso
game_6|Middle Tenn/St Marys
game_7|Cincinnati
game_8|Duke
game_9|Gonzaga
game_10|Wichita State
game_11|Boise State/La Salle
game_12|Ole Miss
game_13|New Mexico
game_14|Arizona
game_15|Iowa State
game_16|Ohio State
game_17|Kansas
game_18|Villanova
game_19|Michigan
game_20|Akron
game_21|Northwestern State
game_22|UCLA
game_23|Oklahoma
game_24|Georgetown
game_25|LIU/James Madison
game_26|NC State
game_27|Syracuse
game_28|UNLV
game_29|Davidson
game_30|Butler
game_31|Illinois
game_32|Pacific
game_33|Colorado State
game_34|Saint Louis
game_35|Middle Tenn/St Marys
game_36|Cincinnati
game_37|Wichita State
game_38|Ole Miss
game_39|New Mexico
game_40|Ohio State
game_41|Kansas
game_42|Michigan
game_43|Northwestern State
game_44|Georgetown
game_45|NC State
game_46|UNLV
game_47|Butler
game_48|Illinois
game_49|Saint Louis
game_50|Cincinnati
game_51|Ole Miss
game_52|New Mexico
game_53|Kansas
game_54|Georgetown
game_55|UNLV
game_56|Butler
game_57|Cincinnati
game_58|Ole Miss
game_59|Georgetown
game_60|UNLV
game_61|Cincinnati
game_62|Georgetown
game_63|Georgetown
name|Aron the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
