game_1|Louisville
game_2|Colorado State
game_3|New Mexico State
game_4|Oregon
game_5|Valparaiso
game_6|Middle Tenn/St Marys
game_7|Cincinnati
game_8|Albany
game_9|Southern
game_10|Wichita State
game_11|Boise State/La Salle
game_12|Wisconsin
game_13|Harvard
game_14|Arizona
game_15|Notre Dame
game_16|Ohio State
game_17|Kansas
game_18|Villanova
game_19|South Dakota State
game_20|Akron
game_21|Florida
game_22|UCLA
game_23|San Diego State
game_24|Georgetown
game_25|LIU/James Madison
game_26|NC State
game_27|Syracuse
game_28|California
game_29|Davidson
game_30|Butler
game_31|Illinois
game_32|Miami
game_33|Colorado State
game_34|Oregon
game_35|Middle Tenn/St Marys
game_36|Albany
game_37|Southern
game_38|Boise State/La Salle
game_39|Harvard
game_40|Notre Dame
game_41|Kansas
game_42|Akron
game_43|UCLA
game_44|Georgetown
game_45|LIU/James Madison
game_46|Syracuse
game_47|Davidson
game_48|Miami
game_49|Colorado State
game_50|Middle Tenn/St Marys
game_51|Southern
game_52|Notre Dame
game_53|Kansas
game_54|UCLA
game_55|LIU/James Madison
game_56|Miami
game_57|Colorado State
game_58|Notre Dame
game_59|UCLA
game_60|LIU/James Madison
game_61|Colorado State
game_62|LIU/James Madison
game_63|Colorado State
name|Aryan the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
