game_1|NC A&T/Liberty
game_2|Missouri
game_3|Saint Louis
game_4|Oregon
game_5|Michigan State
game_6|Middle Tenn/St Marys
game_7|Creighton
game_8|Albany
game_9|Southern
game_10|Pittsburgh
game_11|Boise State/La Salle
game_12|Wisconsin
game_13|Harvard
game_14|Arizona
game_15|Notre Dame
game_16|Iona
game_17|Western Kentucky
game_18|Villanova
game_19|Michigan
game_20|VCU
game_21|Florida
game_22|Minnesota
game_23|Oklahoma
game_24|Florida GC
game_25|Indiana
game_26|NC State
game_27|Montana
game_28|UNLV
game_29|Davidson
game_30|Bucknell
game_31|Illinois
game_32|Miami
game_33|Missouri
game_34|Saint Louis
game_35|Middle Tenn/St Marys
game_36|Albany
game_37|Southern
game_38|Wisconsin
game_39|Arizona
game_40|Iona
game_41|Villanova
game_42|VCU
game_43|Florida
game_44|Florida GC
game_45|NC State
game_46|UNLV
game_47|Bucknell
game_48|Illinois
game_49|Saint Louis
game_50|Middle Tenn/St Marys
game_51|Wisconsin
game_52|Iona
game_53|VCU
game_54|Florida
game_55|NC State
game_56|Bucknell
game_57|Saint Louis
game_58|Iona
game_59|Florida
game_60|NC State
game_61|Saint Louis
game_62|NC State
game_63|Saint Louis
name|Aryanna the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
