game_1|Louisville
game_2|Colorado State
game_3|New Mexico State
game_4|Oklahoma State
game_5|Michigan State
game_6|Middle Tenn/St Marys
game_7|Creighton
game_8|Duke
game_9|Gonzaga
game_10|Wichita State
game_11|Kansas State
game_12|Ole Miss
game_13|New Mexico
game_14|Arizona
game_15|Notre Dame
game_16|Ohio State
game_17|Western Kentucky
game_18|North Carolina
game_19|South Dakota State
game_20|VCU
game_21|Florida
game_22|Minnesota
game_23|San Diego State
game_24|Florida GC
game_25|LIU/James Madison
game_26|NC State
game_27|Montana
game_28|UNLV
game_29|Marquette
game_30|Butler
game_31|Colorado
game_32|Miami
game_33|Colorado State
game_34|Oklahoma State
game_35|Middle Tenn/St Marys
game_36|Duke
game_37|Wichita State
game_38|Kansas State
game_39|New Mexico
game_40|Ohio State
game_41|North Carolina
game_42|South Dakota State
game_43|Minnesota
game_44|Florida GC
game_45|NC State
game_46|Montana
game_47|Butler
game_48|Miami
game_49|Colorado State
game_50|Middle Tenn/St Marys
game_51|Wichita State
game_52|New Mexico
game_53|South Dakota State
game_54|Florida GC
game_55|Montana
game_56|Butler
game_57|Middle Tenn/St Marys
game_58|New Mexico
game_59|South Dakota State
game_60|Butler
game_61|Middle Tenn/St Marys
game_62|Butler
game_63|Middle Tenn/St Marys
name|Ashtyn the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
