game_1|NC A&T/Liberty
game_2|Missouri
game_3|Saint Louis
game_4|Oregon
game_5|Valparaiso
game_6|Middle Tenn/St Marys
game_7|Cincinnati
game_8|Duke
game_9|Gonzaga
game_10|Pittsburgh
game_11|Kansas State
game_12|Ole Miss
game_13|Harvard
game_14|Belmont
game_15|Iowa State
game_16|Ohio State
game_17|Kansas
game_18|Villanova
game_19|South Dakota State
game_20|Akron
game_21|Florida
game_22|UCLA
game_23|San Diego State
game_24|Georgetown
game_25|LIU/James Madison
game_26|NC State
game_27|Syracuse
game_28|California
game_29|Davidson
game_30|Bucknell
game_31|Illinois
game_32|Pacific
game_33|Missouri
game_34|Oregon
game_35|Valparaiso
game_36|Cincinnati
game_37|Gonzaga
game_38|Kansas State
game_39|Harvard
game_40|Ohio State
game_41|Kansas
game_42|South Dakota State
game_43|UCLA
game_44|San Diego State
game_45|NC State
game_46|California
game_47|Bucknell
game_48|Illinois
game_49|Oregon
game_50|Cincinnati
game_51|Kansas State
game_52|Harvard
game_53|Kansas
game_54|UCLA
game_55|NC State
game_56|Bucknell
game_57|Oregon
game_58|Harvard
game_59|Kansas
game_60|NC State
game_61|Harvard
game_62|Kansas
game_63|Kansas
name|Audrey the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
