game_1|Louisville
game_2|Colorado State
game_3|Saint Louis
game_4|Oklahoma State
game_5|Valparaiso
game_6|Memphis
game_7|Creighton
game_8|Duke
game_9|Southern
game_10|Pittsburgh
game_11|Kansas State
game_12|Ole Miss
game_13|New Mexico
game_14|Belmont
game_15|Notre Dame
game_16|Ohio State
game_17|Kansas
game_18|North Carolina
game_19|Michigan
game_20|Akron
game_21|Florida
game_22|UCLA
game_23|Oklahoma
game_24|Florida GC
game_25|LIU/James Madison
game_26|NC State
game_27|Syracuse
game_28|California
game_29|Davidson
game_30|Bucknell
game_31|Colorado
game_32|Pacific
game_33|Colorado State
game_34|Oklahoma State
game_35|Valparaiso
game_36|Duke
game_37|Pittsburgh
game_38|Kansas State
game_39|New Mexico
game_40|Ohio State
game_41|Kansas
game_42|Akron
game_43|UCLA
game_44|Oklahoma
game_45|LIU/James Madison
game_46|California
game_47|Davidson
game_48|Colorado
game_49|Colorado State
game_50|Duke
game_51|Kansas State
game_52|Ohio State
game_53|Kansas
game_54|UCLA
game_55|California
game_56|Colorado
game_57|Colorado State
game_58|Ohio State
game_59|UCLA
game_60|California
game_61|Colorado State
game_62|California
game_63|Colorado State
name|Ava the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
