game_1|Louisville
game_2|Missouri
game_3|Saint Louis
game_4|Oklahoma State
game_5|Michigan State
game_6|Memphis
game_7|Creighton
game_8|Duke
game_9|Southern
game_10|Wichita State
game_11|Boise State/La Salle
game_12|Wisconsin
game_13|Harvard
game_14|Belmont
game_15|Notre Dame
game_16|Iona
game_17|Kansas
game_18|Villanova
game_19|South Dakota State
game_20|Akron
game_21|Florida
game_22|Minnesota
game_23|Oklahoma
game_24|Florida GC
game_25|Indiana
game_26|Temple
game_27|Syracuse
game_28|California
game_29|Davidson
game_30|Butler
game_31|Illinois
game_32|Miami
game_33|Missouri
game_34|Saint Louis
game_35|Michigan State
game_36|Creighton
game_37|Wichita State
game_38|Wisconsin
game_39|Harvard
game_40|Iona
game_41|Villanova
game_42|South Dakota State
game_43|Minnesota
game_44|Oklahoma
game_45|Indiana
game_46|California
game_47|Butler
game_48|Miami
game_49|Saint Louis
game_50|Creighton
game_51|Wichita State
game_52|Iona
game_53|South Dakota State
game_54|Minnesota
game_55|California
game_56|Butler
game_57|Saint Louis
game_58|Wichita State
game_59|South Dakota State
game_60|Butler
game_61|Wichita State
game_62|South Dakota State
game_63|South Dakota State
name|Bianca the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
