game_1|Louisville
game_2|Colorado State
game_3|New Mexico State
game_4|Oregon
game_5|Michigan State
game_6|Memphis
game_7|Creighton
game_8|Duke
game_9|Gonzaga
game_10|Wichita State
game_11|Kansas State
game_12|Wisconsin
game_13|Harvard
game_14|Belmont
game_15|Iowa State
game_16|Iona
game_17|Kansas
game_18|Villanova
game_19|Michigan
game_20|Akron
game_21|Northwestern State
game_22|UCLA
game_23|Oklahoma
game_24|Georgetown
game_25|LIU/James Madison
game_26|NC State
game_27|Syracuse
game_28|California
game_29|Marquette
game_30|Butler
game_31|Colorado
game_32|Miami
game_33|Colorado State
game_34|New Mexico State
game_35|Michigan State
game_36|Creighton
game_37|Gonzaga
game_38|Kansas State
game_39|Harvard
game_40|Iona
game_41|Villanova
game_42|Michigan
game_43|UCLA
game_44|Georgetown
game_45|NC State
game_46|Syracuse
game_47|Butler
game_48|Colorado
game_49|New Mexico State
game_50|Creighton
game_51|Gonzaga
game_52|Iona
game_53|Michigan
game_54|UCLA
game_55|NC State
game_56|Colorado
game_57|Creighton
game_58|Gonzaga
game_59|Michigan
game_60|Colorado
game_61|Gonzaga
game_62|Colorado
game_63|Gonzaga
name|Brennen the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
