game_1|Louisville
game_2|Missouri
game_3|New Mexico State
game_4|Oklahoma State
game_5|Michigan State
game_6|Middle Tenn/St Marys
game_7|Cincinnati
game_8|Duke
game_9|Gonzaga
game_10|Pittsburgh
game_11|Kansas State
game_12|Wisconsin
game_13|Harvard
game_14|Belmont
game_15|Iowa State
game_16|Iona
game_17|Kansas
game_18|North Carolina
game_19|Michigan
game_20|Akron
game_21|Florida
game_22|Minnesota
game_23|Oklahoma
game_24|Georgetown
game_25|LIU/James Madison
game_26|NC State
game_27|Syracuse
game_28|California
game_29|Marquette
game_30|Butler
game_31|Colorado
game_32|Miami
game_33|Missouri
game_34|Oklahoma State
game_35|Middle Tenn/St Marys
game_36|Duke
game_37|Pittsburgh
game_38|Kansas State
game_39|Belmont
game_40|Iona
game_41|Kansas
game_42|Michigan
game_43|Florida
game_44|Georgetown
game_45|LIU/James Madison
game_46|California
game_47|Butler
game_48|Colorado
game_49|Missouri
game_50|Duke
game_51|Kansas State
game_52|Belmont
game_53|Michigan
game_54|Florida
game_55|LIU/James Madison
game_56|Butler
game_57|Duke
game_58|Kansas State
game_59|Florida
game_60|LIU/James Madison
game_61|Duke
game_62|LIU/James Madison
game_63|LIU/James Madison
name|Brittney the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
