game_1|NC A&T/Liberty
game_2|Missouri
game_3|Saint Louis
game_4|Oklahoma State
game_5|Valparaiso
game_6|Memphis
game_7|Cincinnati
game_8|Duke
game_9|Southern
game_10|Pittsburgh
game_11|Boise State/La Salle
game_12|Ole Miss
game_13|New Mexico
game_14|Belmont
game_15|Notre Dame
game_16|Ohio State
game_17|Kansas
game_18|Villanova
game_19|Michigan
game_20|Akron
game_21|Florida
game_22|UCLA
game_23|San Diego State
game_24|Georgetown
game_25|LIU/James Madison
game_26|NC State
game_27|Montana
game_28|UNLV
game_29|Davidson
game_30|Butler
game_31|Illinois
game_32|Pacific
game_33|Missouri
game_34|Saint Louis
game_35|Memphis
game_36|Duke
game_37|Pittsburgh
game_38|Boise State/La Salle
game_39|New Mexico
game_40|Ohio State
game_41|Kansas
game_42|Michigan
game_43|Florida
game_44|San Diego State
game_45|NC State
game_46|UNLV
game_47|Davidson
game_48|Illinois
game_49|Missouri
game_50|Memphis
game_51|Boise State/La Salle
game_52|New Mexico
game_53|Kansas
game_54|Florida
game_55|NC State
game_56|Davidson
game_57|Missouri
game_58|New Mexico
game_59|Florida
game_60|NC State
game_61|New Mexico
game_62|NC State
game_63|NC State
name|Cael the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
