game_1|NC A&T/Liberty
game_2|Colorado State
game_3|Saint Louis
game_4|Oregon
game_5|Valparaiso
game_6|Middle Tenn/St Marys
game_7|Creighton
game_8|Albany
game_9|Gonzaga
game_10|Wichita State
game_11|Kansas State
game_12|Wisconsin
game_13|New Mexico
game_14|Belmont
game_15|Iowa State
game_16|Ohio State
game_17|Western Kentucky
game_18|Villanova
game_19|Michigan
game_20|VCU
game_21|Northwestern State
game_22|Minnesota
game_23|Oklahoma
game_24|Florida GC
game_25|LIU/James Madison
game_26|NC State
game_27|Syracuse
game_28|UNLV
game_29|Davidson
game_30|Butler
game_31|Illinois
game_32|Miami
game_33|Colorado State
game_34|Oregon
game_35|Middle Tenn/St Marys
game_36|Creighton
game_37|Wichita State
game_38|Wisconsin
game_39|New Mexico
game_40|Iowa State
game_41|Western Kentucky
game_42|Michigan
game_43|Northwestern State
game_44|Florida GC
game_45|LIU/James Madison
game_46|Syracuse
game_47|Butler
game_48|Miami
game_49|Oregon
game_50|Creighton
game_51|Wisconsin
game_52|Iowa State
game_53|Western Kentucky
game_54|Northwestern State
game_55|Syracuse
game_56|Butler
game_57|Oregon
game_58|Wisconsin
game_59|Western Kentucky
game_60|Syracuse
game_61|Wisconsin
game_62|Syracuse
game_63|Syracuse
name|Caleb the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
