game_1|Louisville
game_2|Colorado State
game_3|New Mexico State
game_4|Oklahoma State
game_5|Valparaiso
game_6|Middle Tenn/St Marys
game_7|Cincinnati
game_8|Albany
game_9|Gonzaga
game_10|Pittsburgh
game_11|Boise State/La Salle
game_12|Ole Miss
game_13|New Mexico
game_14|Belmont
game_15|Notre Dame
game_16|Iona
game_17|Western Kentucky
game_18|Villanova
game_19|Michigan
game_20|VCU
game_21|Florida
game_22|UCLA
game_23|Oklahoma
game_24|Georgetown
game_25|LIU/James Madison
game_26|NC State
game_27|Montana
game_28|UNLV
game_29|Marquette
game_30|Bucknell
game_31|Colorado
game_32|Miami
game_33|Colorado State
game_34|Oklahoma State
game_35|Middle Tenn/St Marys
game_36|Albany
game_37|Gonzaga
game_38|Boise State/La Salle
game_39|Belmont
game_40|Iona
game_41|Villanova
game_42|VCU
game_43|UCLA
game_44|Georgetown
game_45|NC State
game_46|UNLV
game_47|Bucknell
game_48|Miami
game_49|Colorado State
game_50|Middle Tenn/St Marys
game_51|Boise State/La Salle
game_52|Belmont
game_53|Villanova
game_54|UCLA
game_55|NC State
game_56|Bucknell
game_57|Colorado State
game_58|Belmont
game_59|UCLA
game_60|NC State
game_61|Colorado State
game_62|NC State
game_63|Colorado State
name|Camila the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
