game_1|Louisville
game_2|Colorado State
game_3|New Mexico State
game_4|Oklahoma State
game_5|Michigan State
game_6|Middle Tenn/St Marys
game_7|Creighton
game_8|Albany
game_9|Gonzaga
game_10|Pittsburgh
game_11|Boise State/La Salle
game_12|Wisconsin
game_13|New Mexico
game_14|Belmont
game_15|Iowa State
game_16|Iona
game_17|Western Kentucky
game_18|North Carolina
game_19|Michigan
game_20|Akron
game_21|Northwestern State
game_22|UCLA
game_23|San Diego State
game_24|Florida GC
game_25|Indiana
game_26|NC State
game_27|Syracuse
game_28|California
game_29|Davidson
game_30|Bucknell
game_31|Illinois
game_32|Pacific
game_33|Colorado State
game_34|Oklahoma State
game_35|Michigan State
game_36|Creighton
game_37|Pittsburgh
game_38|Boise State/La Salle
game_39|New Mexico
game_40|Iona
game_41|Western Kentucky
game_42|Akron
game_43|UCLA
game_44|San Diego State
game_45|NC State
game_46|Syracuse
game_47|Davidson
game_48|Illinois
game_49|Colorado State
game_50|Michigan State
game_51|Pittsburgh
game_52|New Mexico
game_53|Western Kentucky
game_54|UCLA
game_55|NC State
game_56|Illinois
game_57|Colorado State
game_58|Pittsburgh
game_59|Western Kentucky
game_60|Illinois
game_61|Colorado State
game_62|Western Kentucky
game_63|Western Kentucky
name|Carli the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
