game_1|NC A&T/Liberty
game_2|Colorado State
game_3|New Mexico State
game_4|Oregon
game_5|Valparaiso
game_6|Memphis
game_7|Creighton
game_8|Albany
game_9|Gonzaga
game_10|Wichita State
game_11|Kansas State
game_12|Ole Miss
game_13|Harvard
game_14|Arizona
game_15|Iowa State
game_16|Ohio State
game_17|Kansas
game_18|Villanova
game_19|Michigan
game_20|VCU
game_21|Florida
game_22|Minnesota
game_23|San Diego State
game_24|Florida GC
game_25|Indiana
game_26|Temple
game_27|Montana
game_28|UNLV
game_29|Marquette
game_30|Bucknell
game_31|Colorado
game_32|Pacific
game_33|Colorado State
game_34|Oregon
game_35|Valparaiso
game_36|Albany
game_37|Gonzaga
game_38|Kansas State
game_39|Harvard
game_40|Iowa State
game_41|Kansas
game_42|VCU
game_43|Minnesota
game_44|Florida GC
game_45|Temple
game_46|Montana
game_47|Bucknell
game_48|Pacific
game_49|Oregon
game_50|Albany
game_51|Gonzaga
game_52|Harvard
game_53|VCU
game_54|Florida GC
game_55|Temple
game_56|Pacific
game_57|Oregon
game_58|Gonzaga
game_59|Florida GC
game_60|Temple
game_61|Oregon
game_62|Florida GC
game_63|Florida GC
name|Cayden the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
