game_1|NC A&T/Liberty
game_2|Missouri
game_3|Saint Louis
game_4|Oklahoma State
game_5|Valparaiso
game_6|Memphis
game_7|Cincinnati
game_8|Duke
game_9|Gonzaga
game_10|Wichita State
game_11|Boise State/La Salle
game_12|Wisconsin
game_13|Harvard
game_14|Belmont
game_15|Iowa State
game_16|Ohio State
game_17|Western Kentucky
game_18|Villanova
game_19|South Dakota State
game_20|Akron
game_21|Florida
game_22|Minnesota
game_23|San Diego State
game_24|Florida GC
game_25|Indiana
game_26|NC State
game_27|Syracuse
game_28|California
game_29|Davidson
game_30|Butler
game_31|Illinois
game_32|Pacific
game_33|Missouri
game_34|Oklahoma State
game_35|Memphis
game_36|Cincinnati
game_37|Gonzaga
game_38|Wisconsin
game_39|Harvard
game_40|Ohio State
game_41|Western Kentucky
game_42|South Dakota State
game_43|Minnesota
game_44|San Diego State
game_45|Indiana
game_46|California
game_47|Davidson
game_48|Pacific
game_49|Missouri
game_50|Memphis
game_51|Gonzaga
game_52|Harvard
game_53|Western Kentucky
game_54|Minnesota
game_55|Indiana
game_56|Pacific
game_57|Memphis
game_58|Harvard
game_59|Western Kentucky
game_60|Indiana
game_61|Harvard
game_62|Indiana
game_63|Indiana
name|Cornelius the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
