game_1|Louisville
game_2|Missouri
game_3|New Mexico State
game_4|Oklahoma State
game_5|Michigan State
game_6|Memphis
game_7|Cincinnati
game_8|Albany
game_9|Southern
game_10|Pittsburgh
game_11|Boise State/La Salle
game_12|Wisconsin
game_13|Harvard
game_14|Arizona
game_15|Iowa State
game_16|Iona
game_17|Western Kentucky
game_18|Villanova
game_19|South Dakota State
game_20|VCU
game_21|Northwestern State
game_22|Minnesota
game_23|San Diego State
game_24|Georgetown
game_25|LIU/James Madison
game_26|Temple
game_27|Montana
game_28|California
game_29|Davidson
game_30|Butler
game_31|Colorado
game_32|Pacific
game_33|Missouri
game_34|Oklahoma State
game_35|Michigan State
game_36|Cincinnati
game_37|Pittsburgh
game_38|Boise State/La Salle
game_39|Arizona
game_40|Iowa State
game_41|Western Kentucky
game_42|VCU
game_43|Northwestern State
game_44|San Diego State
game_45|LIU/James Madison
game_46|California
game_47|Butler
game_48|Pacific
game_49|Oklahoma State
game_50|Cincinnati
game_51|Pittsburgh
game_52|Arizona
game_53|Western Kentucky
game_54|Northwestern State
game_55|California
game_56|Butler
game_57|Cincinnati
game_58|Pittsburgh
game_59|Northwestern State
game_60|California
game_61|Cincinnati
game_62|California
game_63|California
name|Darian the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
