game_1|NC A&T/Liberty
game_2|Colorado State
game_3|Saint Louis
game_4|Oregon
game_5|Valparaiso
game_6|Memphis
game_7|Creighton
game_8|Albany
game_9|Southern
game_10|Pittsburgh
game_11|Boise State/La Salle
game_12|Ole Miss
game_13|New Mexico
game_14|Arizona
game_15|Notre Dame
game_16|Iona
game_17|Western Kentucky
game_18|North Carolina
game_19|Michigan
game_20|VCU
game_21|Florida
game_22|Minnesota
game_23|Oklahoma
game_24|Florida GC
game_25|LIU/James Madison
game_26|Temple
game_27|Syracuse
game_28|California
game_29|Marquette
game_30|Bucknell
game_31|Illinois
game_32|Miami
game_33|Colorado State
game_34|Oregon
game_35|Memphis
game_36|Albany
game_37|Southern
game_38|Boise State/La Salle
game_39|Arizona
game_40|Iona
game_41|Western Kentucky
game_42|Michigan
game_43|Florida
game_44|Oklahoma
game_45|LIU/James Madison
game_46|Syracuse
game_47|Marquette
game_48|Illinois
game_49|Oregon
game_50|Memphis
game_51|Boise State/La Salle
game_52|Iona
game_53|Michigan
game_54|Florida
game_55|LIU/James Madison
game_56|Illinois
game_57|Oregon
game_58|Boise State/La Salle
game_59|Florida
game_60|Illinois
game_61|Boise State/La Salle
game_62|Illinois
game_63|Illinois
name|Eliza the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
