game_1|Louisville
game_2|Missouri
game_3|New Mexico State
game_4|Oregon
game_5|Michigan State
game_6|Memphis
game_7|Creighton
game_8|Duke
game_9|Southern
game_10|Pittsburgh
game_11|Kansas State
game_12|Wisconsin
game_13|New Mexico
game_14|Arizona
game_15|Notre Dame
game_16|Ohio State
game_17|Kansas
game_18|Villanova
game_19|South Dakota State
game_20|Akron
game_21|Northwestern State
game_22|Minnesota
game_23|Oklahoma
game_24|Georgetown
game_25|Indiana
game_26|NC State
game_27|Syracuse
game_28|UNLV
game_29|Davidson
game_30|Bucknell
game_31|Illinois
game_32|Pacific
game_33|Missouri
game_34|New Mexico State
game_35|Michigan State
game_36|Duke
game_37|Southern
game_38|Kansas State
game_39|New Mexico
game_40|Notre Dame
game_41|Kansas
game_42|Akron
game_43|Northwestern State
game_44|Georgetown
game_45|NC State
game_46|UNLV
game_47|Bucknell
game_48|Illinois
game_49|Missouri
game_50|Michigan State
game_51|Southern
game_52|New Mexico
game_53|Kansas
game_54|Northwestern State
game_55|NC State
game_56|Bucknell
game_57|Michigan State
game_58|New Mexico
game_59|Northwestern State
game_60|NC State
game_61|New Mexico
game_62|Northwestern State
game_63|New Mexico
name|Ellie the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
