game_1|Louisville
game_2|Missouri
game_3|Saint Louis
game_4|Oregon
game_5|Michigan State
game_6|Memphis
game_7|Creighton
game_8|Albany
game_9|Gonzaga
game_10|Wichita State
game_11|Boise State/La Salle
game_12|Ole Miss
game_13|Harvard
game_14|Belmont
game_15|Iowa State
game_16|Iona
game_17|Western Kentucky
game_18|North Carolina
game_19|Michigan
game_20|VCU
game_21|Northwestern State
game_22|UCLA
game_23|San Diego State
game_24|Georgetown
game_25|LIU/James Madison
game_26|NC State
game_27|Syracuse
game_28|UNLV
game_29|Marquette
game_30|Bucknell
game_31|Illinois
game_32|Miami
game_33|Missouri
game_34|Saint Louis
game_35|Memphis
game_36|Creighton
game_37|Wichita State
game_38|Ole Miss
game_39|Harvard
game_40|Iona
game_41|Western Kentucky
game_42|VCU
game_43|UCLA
game_44|Georgetown
game_45|LIU/James Madison
game_46|UNLV
game_47|Bucknell
game_48|Miami
game_49|Saint Louis
game_50|Memphis
game_51|Wichita State
game_52|Harvard
game_53|Western Kentucky
game_54|UCLA
game_55|UNLV
game_56|Bucknell
game_57|Saint Louis
game_58|Harvard
game_59|UCLA
game_60|UNLV
game_61|Harvard
game_62|UCLA
game_63|UCLA
name|Emily the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
