game_1|Louisville
game_2|Colorado State
game_3|Saint Louis
game_4|Oregon
game_5|Valparaiso
game_6|Memphis
game_7|Cincinnati
game_8|Albany
game_9|Gonzaga
game_10|Wichita State
game_11|Boise State/La Salle
game_12|Ole Miss
game_13|New Mexico
game_14|Belmont
game_15|Iowa State
game_16|Ohio State
game_17|Western Kentucky
game_18|Villanova
game_19|Michigan
game_20|Akron
game_21|Northwestern State
game_22|Minnesota
game_23|Oklahoma
game_24|Georgetown
game_25|Indiana
game_26|Temple
game_27|Montana
game_28|UNLV
game_29|Marquette
game_30|Bucknell
game_31|Illinois
game_32|Pacific
game_33|Colorado State
game_34|Saint Louis
game_35|Valparaiso
game_36|Albany
game_37|Gonzaga
game_38|Boise State/La Salle
game_39|New Mexico
game_40|Ohio State
game_41|Villanova
game_42|Michigan
game_43|Minnesota
game_44|Oklahoma
game_45|Temple
game_46|UNLV
game_47|Marquette
game_48|Pacific
game_49|Saint Louis
game_50|Valparaiso
game_51|Boise State/La Salle
game_52|Ohio State
game_53|Villanova
game_54|Oklahoma
game_55|Temple
game_56|Pacific
game_57|Saint Louis
game_58|Ohio State
game_59|Oklahoma
game_60|Temple
game_61|Saint Louis
game_62|Temple
game_63|Saint Louis
name|Francisco the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
