game_1|NC A&T/Liberty
game_2|Colorado State
game_3|New Mexico State
game_4|Oklahoma State
game_5|Michigan State
game_6|Memphis
game_7|Creighton
game_8|Duke
game_9|Gonzaga
game_10|Wichita State
game_11|Kansas State
game_12|Ole Miss
game_13|Harvard
game_14|Belmont
game_15|Notre Dame
game_16|Iona
game_17|Western Kentucky
game_18|North Carolina
game_19|Michigan
game_20|Akron
game_21|Northwestern State
game_22|UCLA
game_23|San Diego State
game_24|Georgetown
game_25|LIU/James Madison
game_26|Temple
game_27|Syracuse
game_28|UNLV
game_29|Davidson
game_30|Butler
game_31|Illinois
game_32|Miami
game_33|Colorado State
game_34|Oklahoma State
game_35|Michigan State
game_36|Creighton
game_37|Gonzaga
game_38|Ole Miss
game_39|Belmont
game_40|Iona
game_41|North Carolina
game_42|Akron
game_43|Northwestern State
game_44|San Diego State
game_45|Temple
game_46|Syracuse
game_47|Davidson
game_48|Miami
game_49|Oklahoma State
game_50|Creighton
game_51|Ole Miss
game_52|Belmont
game_53|North Carolina
game_54|San Diego State
game_55|Temple
game_56|Davidson
game_57|Oklahoma State
game_58|Ole Miss
game_59|San Diego State
game_60|Temple
game_61|Oklahoma State
game_62|San Diego State
game_63|Oklahoma State
name|Giovanny the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
