game_1|Louisville
game_2|Missouri
game_3|New Mexico State
game_4|Oregon
game_5|Michigan State
game_6|Middle Tenn/St Marys
game_7|Creighton
game_8|Albany
game_9|Gonzaga
game_10|Pittsburgh
game_11|Kansas State
game_12|Wisconsin
game_13|New Mexico
game_14|Arizona
game_15|Notre Dame
game_16|Iona
game_17|Western Kentucky
game_18|Villanova
game_19|South Dakota State
game_20|VCU
game_21|Northwestern State
game_22|UCLA
game_23|Oklahoma
game_24|Florida GC
game_25|Indiana
game_26|NC State
game_27|Syracuse
game_28|UNLV
game_29|Davidson
game_30|Bucknell
game_31|Colorado
game_32|Miami
game_33|Missouri
game_34|New Mexico State
game_35|Middle Tenn/St Marys
game_36|Creighton
game_37|Gonzaga
game_38|Kansas State
game_39|New Mexico
game_40|Notre Dame
game_41|Western Kentucky
game_42|South Dakota State
game_43|Northwestern State
game_44|Oklahoma
game_45|NC State
game_46|Syracuse
game_47|Bucknell
game_48|Miami
game_49|New Mexico State
game_50|Creighton
game_51|Gonzaga
game_52|Notre Dame
game_53|Western Kentucky
game_54|Northwestern State
game_55|Syracuse
game_56|Miami
game_57|Creighton
game_58|Gonzaga
game_59|Western Kentucky
game_60|Miami
game_61|Creighton
game_62|Miami
game_63|Creighton
name|Gisselle the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
