game_1|NC A&T/Liberty
game_2|Colorado State
game_3|Saint Louis
game_4|Oregon
game_5|Valparaiso
game_6|Middle Tenn/St Marys
game_7|Cincinnati
game_8|Duke
game_9|Gonzaga
game_10|Wichita State
game_11|Boise State/La Salle
game_12|Ole Miss
game_13|Harvard
game_14|Belmont
game_15|Notre Dame
game_16|Iona
game_17|Western Kentucky
game_18|Villanova
game_19|South Dakota State
game_20|VCU
game_21|Northwestern State
game_22|UCLA
game_23|San Diego State
game_24|Florida GC
game_25|LIU/James Madison
game_26|NC State
game_27|Montana
game_28|California
game_29|Marquette
game_30|Bucknell
game_31|Illinois
game_32|Pacific
game_33|Colorado State
game_34|Saint Louis
game_35|Middle Tenn/St Marys
game_36|Cincinnati
game_37|Gonzaga
game_38|Boise State/La Salle
game_39|Belmont
game_40|Iona
game_41|Western Kentucky
game_42|VCU
game_43|UCLA
game_44|Florida GC
game_45|NC State
game_46|Montana
game_47|Bucknell
game_48|Pacific
game_49|Colorado State
game_50|Cincinnati
game_51|Gonzaga
game_52|Belmont
game_53|Western Kentucky
game_54|UCLA
game_55|Montana
game_56|Bucknell
game_57|Colorado State
game_58|Belmont
game_59|UCLA
game_60|Montana
game_61|Colorado State
game_62|Montana
game_63|Colorado State
name|Guy the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
