game_1|Louisville
game_2|Colorado State
game_3|Saint Louis
game_4|Oregon
game_5|Michigan State
game_6|Middle Tenn/St Marys
game_7|Cincinnati
game_8|Duke
game_9|Southern
game_10|Wichita State
game_11|Kansas State
game_12|Wisconsin
game_13|Harvard
game_14|Belmont
game_15|Notre Dame
game_16|Ohio State
game_17|Western Kentucky
game_18|Villanova
game_19|Michigan
game_20|Akron
game_21|Florida
game_22|Minnesota
game_23|San Diego State
game_24|Florida GC
game_25|LIU/James Madison
game_26|NC State
game_27|Syracuse
game_28|California
game_29|Davidson
game_30|Bucknell
game_31|Illinois
game_32|Pacific
game_33|Colorado State
game_34|Oregon
game_35|Middle Tenn/St Marys
game_36|Duke
game_37|Wichita State
game_38|Kansas State
game_39|Belmont
game_40|Ohio State
game_41|Villanova
game_42|Michigan
game_43|Florida
game_44|San Diego State
game_45|LIU/James Madison
game_46|Syracuse
game_47|Bucknell
game_48|Pacific
game_49|Colorado State
game_50|Middle Tenn/St Marys
game_51|Kansas State
game_52|Ohio State
game_53|Michigan
game_54|San Diego State
game_55|LIU/James Madison
game_56|Pacific
game_57|Colorado State
game_58|Ohio State
game_59|San Diego State
game_60|LIU/James Madison
game_61|Colorado State
game_62|LIU/James Madison
game_63|LIU/James Madison
name|Hugo the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
