game_1|Louisville
game_2|Colorado State
game_3|Saint Louis
game_4|Oklahoma State
game_5|Valparaiso
game_6|Middle Tenn/St Marys
game_7|Creighton
game_8|Duke
game_9|Gonzaga
game_10|Pittsburgh
game_11|Kansas State
game_12|Ole Miss
game_13|New Mexico
game_14|Arizona
game_15|Notre Dame
game_16|Iona
game_17|Kansas
game_18|North Carolina
game_19|Michigan
game_20|Akron
game_21|Northwestern State
game_22|UCLA
game_23|San Diego State
game_24|Georgetown
game_25|Indiana
game_26|NC State
game_27|Montana
game_28|California
game_29|Davidson
game_30|Butler
game_31|Illinois
game_32|Miami
game_33|Colorado State
game_34|Saint Louis
game_35|Middle Tenn/St Marys
game_36|Creighton
game_37|Pittsburgh
game_38|Kansas State
game_39|Arizona
game_40|Iona
game_41|North Carolina
game_42|Michigan
game_43|Northwestern State
game_44|San Diego State
game_45|NC State
game_46|California
game_47|Butler
game_48|Miami
game_49|Saint Louis
game_50|Middle Tenn/St Marys
game_51|Kansas State
game_52|Iona
game_53|Michigan
game_54|San Diego State
game_55|NC State
game_56|Miami
game_57|Saint Louis
game_58|Kansas State
game_59|Michigan
game_60|NC State
game_61|Kansas State
game_62|NC State
game_63|Kansas State
name|Jared the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
