game_1|NC A&T/Liberty
game_2|Missouri
game_3|New Mexico State
game_4|Oklahoma State
game_5|Valparaiso
game_6|Middle Tenn/St Marys
game_7|Cincinnati
game_8|Albany
game_9|Southern
game_10|Wichita State
game_11|Kansas State
game_12|Ole Miss
game_13|Harvard
game_14|Arizona
game_15|Iowa State
game_16|Ohio State
game_17|Kansas
game_18|Villanova
game_19|Michigan
game_20|Akron
game_21|Northwestern State
game_22|UCLA
game_23|San Diego State
game_24|Georgetown
game_25|Indiana
game_26|NC State
game_27|Syracuse
game_28|California
game_29|Marquette
game_30|Bucknell
game_31|Colorado
game_32|Pacific
game_33|Missouri
game_34|Oklahoma State
game_35|Middle Tenn/St Marys
game_36|Albany
game_37|Southern
game_38|Kansas State
game_39|Arizona
game_40|Iowa State
game_41|Kansas
game_42|Michigan
game_43|UCLA
game_44|San Diego State
game_45|Indiana
game_46|Syracuse
game_47|Bucknell
game_48|Pacific
game_49|Missouri
game_50|Middle Tenn/St Marys
game_51|Southern
game_52|Arizona
game_53|Michigan
game_54|UCLA
game_55|Indiana
game_56|Bucknell
game_57|Missouri
game_58|Southern
game_59|UCLA
game_60|Indiana
game_61|Missouri
game_62|Indiana
game_63|Indiana
name|Jean the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
