game_1|NC A&T/Liberty
game_2|Colorado State
game_3|New Mexico State
game_4|Oregon
game_5|Valparaiso
game_6|Middle Tenn/St Marys
game_7|Cincinnati
game_8|Albany
game_9|Gonzaga
game_10|Pittsburgh
game_11|Boise State/La Salle
game_12|Ole Miss
game_13|Harvard
game_14|Belmont
game_15|Iowa State
game_16|Ohio State
game_17|Kansas
game_18|Villanova
game_19|South Dakota State
game_20|VCU
game_21|Florida
game_22|UCLA
game_23|San Diego State
game_24|Georgetown
game_25|Indiana
game_26|NC State
game_27|Syracuse
game_28|UNLV
game_29|Davidson
game_30|Butler
game_31|Colorado
game_32|Miami
game_33|Colorado State
game_34|Oregon
game_35|Valparaiso
game_36|Albany
game_37|Pittsburgh
game_38|Ole Miss
game_39|Harvard
game_40|Ohio State
game_41|Villanova
game_42|VCU
game_43|UCLA
game_44|Georgetown
game_45|Indiana
game_46|Syracuse
game_47|Butler
game_48|Colorado
game_49|Oregon
game_50|Albany
game_51|Ole Miss
game_52|Harvard
game_53|Villanova
game_54|UCLA
game_55|Indiana
game_56|Colorado
game_57|Oregon
game_58|Harvard
game_59|UCLA
game_60|Indiana
game_61|Harvard
game_62|UCLA
game_63|UCLA
name|Jeremy the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
