game_1|NC A&T/Liberty
game_2|Colorado State
game_3|New Mexico State
game_4|Oklahoma State
game_5|Michigan State
game_6|Memphis
game_7|Creighton
game_8|Duke
game_9|Southern
game_10|Wichita State
game_11|Boise State/La Salle
game_12|Ole Miss
game_13|New Mexico
game_14|Arizona
game_15|Iowa State
game_16|Iona
game_17|Western Kentucky
game_18|North Carolina
game_19|Michigan
game_20|VCU
game_21|Northwestern State
game_22|UCLA
game_23|Oklahoma
game_24|Georgetown
game_25|Indiana
game_26|Temple
game_27|Montana
game_28|California
game_29|Davidson
game_30|Bucknell
game_31|Illinois
game_32|Miami
game_33|Colorado State
game_34|Oklahoma State
game_35|Memphis
game_36|Duke
game_37|Southern
game_38|Boise State/La Salle
game_39|New Mexico
game_40|Iona
game_41|Western Kentucky
game_42|Michigan
game_43|UCLA
game_44|Oklahoma
game_45|Temple
game_46|California
game_47|Davidson
game_48|Illinois
game_49|Colorado State
game_50|Memphis
game_51|Southern
game_52|New Mexico
game_53|Michigan
game_54|UCLA
game_55|California
game_56|Illinois
game_57|Memphis
game_58|Southern
game_59|Michigan
game_60|Illinois
game_61|Memphis
game_62|Illinois
game_63|Memphis
name|Jon the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
