game_1|NC A&T/Liberty
game_2|Missouri
game_3|New Mexico State
game_4|Oklahoma State
game_5|Michigan State
game_6|Memphis
game_7|Creighton
game_8|Duke
game_9|Southern
game_10|Pittsburgh
game_11|Boise State/La Salle
game_12|Wisconsin
game_13|Harvard
game_14|Belmont
game_15|Notre Dame
game_16|Iona
game_17|Western Kentucky
game_18|North Carolina
game_19|Michigan
game_20|Akron
game_21|Northwestern State
game_22|Minnesota
game_23|Oklahoma
game_24|Georgetown
game_25|LIU/James Madison
game_26|Temple
game_27|Montana
game_28|UNLV
game_29|Davidson
game_30|Butler
game_31|Illinois
game_32|Miami
game_33|Missouri
game_34|Oklahoma State
game_35|Michigan State
game_36|Duke
game_37|Pittsburgh
game_38|Wisconsin
game_39|Belmont
game_40|Notre Dame
game_41|Western Kentucky
game_42|Akron
game_43|Minnesota
game_44|Oklahoma
game_45|Temple
game_46|Montana
game_47|Davidson
game_48|Illinois
game_49|Oklahoma State
game_50|Duke
game_51|Pittsburgh
game_52|Belmont
game_53|Western Kentucky
game_54|Oklahoma
game_55|Temple
game_56|Davidson
game_57|Duke
game_58|Belmont
game_59|Western Kentucky
game_60|Davidson
game_61|Duke
game_62|Davidson
game_63|Duke
name|Jonah the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
