game_1|Louisville
game_2|Colorado State
game_3|Saint Louis
game_4|Oklahoma State
game_5|Valparaiso
game_6|Memphis
game_7|Creighton
game_8|Albany
game_9|Southern
game_10|Wichita State
game_11|Kansas State
game_12|Wisconsin
game_13|New Mexico
game_14|Belmont
game_15|Notre Dame
game_16|Iona
game_17|Kansas
game_18|North Carolina
game_19|South Dakota State
game_20|VCU
game_21|Northwestern State
game_22|UCLA
game_23|San Diego State
game_24|Florida GC
game_25|LIU/James Madison
game_26|NC State
game_27|Syracuse
game_28|California
game_29|Davidson
game_30|Butler
game_31|Illinois
game_32|Miami
game_33|Colorado State
game_34|Saint Louis
game_35|Valparaiso
game_36|Albany
game_37|Southern
game_38|Kansas State
game_39|New Mexico
game_40|Iona
game_41|North Carolina
game_42|South Dakota State
game_43|Northwestern State
game_44|Florida GC
game_45|NC State
game_46|Syracuse
game_47|Davidson
game_48|Illinois
game_49|Colorado State
game_50|Albany
game_51|Kansas State
game_52|New Mexico
game_53|South Dakota State
game_54|Northwestern State
game_55|Syracuse
game_56|Illinois
game_57|Albany
game_58|New Mexico
game_59|Northwestern State
game_60|Illinois
game_61|New Mexico
game_62|Northwestern State
game_63|Northwestern State
name|Juan the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
