game_1|Louisville
game_2|Colorado State
game_3|Saint Louis
game_4|Oklahoma State
game_5|Michigan State
game_6|Memphis
game_7|Creighton
game_8|Duke
game_9|Southern
game_10|Wichita State
game_11|Kansas State
game_12|Ole Miss
game_13|Harvard
game_14|Arizona
game_15|Notre Dame
game_16|Iona
game_17|Western Kentucky
game_18|Villanova
game_19|Michigan
game_20|Akron
game_21|Northwestern State
game_22|Minnesota
game_23|Oklahoma
game_24|Georgetown
game_25|LIU/James Madison
game_26|Temple
game_27|Montana
game_28|UNLV
game_29|Davidson
game_30|Bucknell
game_31|Colorado
game_32|Pacific
game_33|Colorado State
game_34|Saint Louis
game_35|Michigan State
game_36|Creighton
game_37|Southern
game_38|Kansas State
game_39|Arizona
game_40|Notre Dame
game_41|Western Kentucky
game_42|Michigan
game_43|Minnesota
game_44|Georgetown
game_45|LIU/James Madison
game_46|UNLV
game_47|Davidson
game_48|Pacific
game_49|Colorado State
game_50|Creighton
game_51|Southern
game_52|Notre Dame
game_53|Western Kentucky
game_54|Georgetown
game_55|UNLV
game_56|Pacific
game_57|Creighton
game_58|Southern
game_59|Georgetown
game_60|Pacific
game_61|Creighton
game_62|Pacific
game_63|Pacific
name|Judith the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
