game_1|Louisville
game_2|Colorado State
game_3|Saint Louis
game_4|Oregon
game_5|Valparaiso
game_6|Memphis
game_7|Creighton
game_8|Albany
game_9|Southern
game_10|Wichita State
game_11|Boise State/La Salle
game_12|Wisconsin
game_13|Harvard
game_14|Arizona
game_15|Iowa State
game_16|Iona
game_17|Western Kentucky
game_18|North Carolina
game_19|Michigan
game_20|VCU
game_21|Florida
game_22|Minnesota
game_23|Oklahoma
game_24|Georgetown
game_25|LIU/James Madison
game_26|NC State
game_27|Syracuse
game_28|UNLV
game_29|Marquette
game_30|Butler
game_31|Colorado
game_32|Pacific
game_33|Colorado State
game_34|Saint Louis
game_35|Valparaiso
game_36|Creighton
game_37|Wichita State
game_38|Boise State/La Salle
game_39|Harvard
game_40|Iowa State
game_41|North Carolina
game_42|VCU
game_43|Florida
game_44|Oklahoma
game_45|LIU/James Madison
game_46|UNLV
game_47|Marquette
game_48|Pacific
game_49|Colorado State
game_50|Creighton
game_51|Boise State/La Salle
game_52|Iowa State
game_53|VCU
game_54|Oklahoma
game_55|UNLV
game_56|Marquette
game_57|Creighton
game_58|Iowa State
game_59|VCU
game_60|UNLV
game_61|Iowa State
game_62|VCU
game_63|VCU
name|Kaliyah the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
