game_1|Louisville
game_2|Colorado State
game_3|New Mexico State
game_4|Oregon
game_5|Valparaiso
game_6|Memphis
game_7|Cincinnati
game_8|Albany
game_9|Southern
game_10|Wichita State
game_11|Boise State/La Salle
game_12|Wisconsin
game_13|New Mexico
game_14|Belmont
game_15|Notre Dame
game_16|Iona
game_17|Kansas
game_18|Villanova
game_19|South Dakota State
game_20|VCU
game_21|Florida
game_22|UCLA
game_23|San Diego State
game_24|Florida GC
game_25|LIU/James Madison
game_26|NC State
game_27|Syracuse
game_28|UNLV
game_29|Davidson
game_30|Bucknell
game_31|Illinois
game_32|Miami
game_33|Colorado State
game_34|New Mexico State
game_35|Memphis
game_36|Cincinnati
game_37|Southern
game_38|Boise State/La Salle
game_39|Belmont
game_40|Iona
game_41|Villanova
game_42|VCU
game_43|Florida
game_44|Florida GC
game_45|NC State
game_46|Syracuse
game_47|Davidson
game_48|Illinois
game_49|New Mexico State
game_50|Memphis
game_51|Southern
game_52|Iona
game_53|VCU
game_54|Florida
game_55|Syracuse
game_56|Illinois
game_57|Memphis
game_58|Southern
game_59|Florida
game_60|Syracuse
game_61|Southern
game_62|Syracuse
game_63|Syracuse
name|Kayley the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
