game_1|NC A&T/Liberty
game_2|Colorado State
game_3|Saint Louis
game_4|Oklahoma State
game_5|Valparaiso
game_6|Memphis
game_7|Cincinnati
game_8|Albany
game_9|Gonzaga
game_10|Pittsburgh
game_11|Kansas State
game_12|Wisconsin
game_13|Harvard
game_14|Arizona
game_15|Notre Dame
game_16|Ohio State
game_17|Western Kentucky
game_18|North Carolina
game_19|Michigan
game_20|Akron
game_21|Florida
game_22|Minnesota
game_23|San Diego State
game_24|Florida GC
game_25|Indiana
game_26|Temple
game_27|Syracuse
game_28|UNLV
game_29|Davidson
game_30|Bucknell
game_31|Illinois
game_32|Miami
game_33|Colorado State
game_34|Oklahoma State
game_35|Valparaiso
game_36|Albany
game_37|Gonzaga
game_38|Kansas State
game_39|Arizona
game_40|Notre Dame
game_41|Western Kentucky
game_42|Michigan
game_43|Florida
game_44|Florida GC
game_45|Indiana
game_46|Syracuse
game_47|Davidson
game_48|Illinois
game_49|Colorado State
game_50|Valparaiso
game_51|Kansas State
game_52|Notre Dame
game_53|Western Kentucky
game_54|Florida
game_55|Indiana
game_56|Illinois
game_57|Valparaiso
game_58|Kansas State
game_59|Western Kentucky
game_60|Indiana
game_61|Valparaiso
game_62|Western Kentucky
game_63|Western Kentucky
name|Lacy the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
