game_1|NC A&T/Liberty
game_2|Colorado State
game_3|Saint Louis
game_4|Oklahoma State
game_5|Michigan State
game_6|Memphis
game_7|Creighton
game_8|Duke
game_9|Gonzaga
game_10|Pittsburgh
game_11|Kansas State
game_12|Wisconsin
game_13|New Mexico
game_14|Belmont
game_15|Iowa State
game_16|Ohio State
game_17|Western Kentucky
game_18|Villanova
game_19|South Dakota State
game_20|VCU
game_21|Florida
game_22|Minnesota
game_23|Oklahoma
game_24|Florida GC
game_25|LIU/James Madison
game_26|Temple
game_27|Montana
game_28|UNLV
game_29|Marquette
game_30|Bucknell
game_31|Illinois
game_32|Miami
game_33|Colorado State
game_34|Oklahoma State
game_35|Michigan State
game_36|Creighton
game_37|Gonzaga
game_38|Wisconsin
game_39|Belmont
game_40|Ohio State
game_41|Villanova
game_42|VCU
game_43|Florida
game_44|Oklahoma
game_45|Temple
game_46|Montana
game_47|Marquette
game_48|Illinois
game_49|Oklahoma State
game_50|Creighton
game_51|Gonzaga
game_52|Ohio State
game_53|Villanova
game_54|Oklahoma
game_55|Montana
game_56|Illinois
game_57|Oklahoma State
game_58|Ohio State
game_59|Villanova
game_60|Illinois
game_61|Oklahoma State
game_62|Villanova
game_63|Oklahoma State
name|Lamont the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
