game_1|NC A&T/Liberty
game_2|Colorado State
game_3|Saint Louis
game_4|Oregon
game_5|Michigan State
game_6|Memphis
game_7|Creighton
game_8|Albany
game_9|Southern
game_10|Wichita State
game_11|Boise State/La Salle
game_12|Ole Miss
game_13|Harvard
game_14|Belmont
game_15|Notre Dame
game_16|Ohio State
game_17|Western Kentucky
game_18|Villanova
game_19|South Dakota State
game_20|VCU
game_21|Florida
game_22|UCLA
game_23|Oklahoma
game_24|Florida GC
game_25|Indiana
game_26|NC State
game_27|Montana
game_28|UNLV
game_29|Davidson
game_30|Butler
game_31|Colorado
game_32|Pacific
game_33|Colorado State
game_34|Saint Louis
game_35|Memphis
game_36|Creighton
game_37|Wichita State
game_38|Ole Miss
game_39|Harvard
game_40|Ohio State
game_41|Western Kentucky
game_42|South Dakota State
game_43|UCLA
game_44|Florida GC
game_45|NC State
game_46|UNLV
game_47|Davidson
game_48|Colorado
game_49|Saint Louis
game_50|Creighton
game_51|Ole Miss
game_52|Ohio State
game_53|South Dakota State
game_54|UCLA
game_55|UNLV
game_56|Colorado
game_57|Saint Louis
game_58|Ole Miss
game_59|UCLA
game_60|UNLV
game_61|Saint Louis
game_62|UCLA
game_63|Saint Louis
name|Lana the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
