game_1|NC A&T/Liberty
game_2|Colorado State
game_3|Saint Louis
game_4|Oklahoma State
game_5|Michigan State
game_6|Middle Tenn/St Marys
game_7|Creighton
game_8|Duke
game_9|Gonzaga
game_10|Pittsburgh
game_11|Kansas State
game_12|Wisconsin
game_13|New Mexico
game_14|Arizona
game_15|Notre Dame
game_16|Iona
game_17|Kansas
game_18|Villanova
game_19|Michigan
game_20|Akron
game_21|Florida
game_22|Minnesota
game_23|San Diego State
game_24|Georgetown
game_25|Indiana
game_26|NC State
game_27|Syracuse
game_28|California
game_29|Davidson
game_30|Bucknell
game_31|Illinois
game_32|Pacific
game_33|Colorado State
game_34|Oklahoma State
game_35|Middle Tenn/St Marys
game_36|Duke
game_37|Gonzaga
game_38|Kansas State
game_39|New Mexico
game_40|Iona
game_41|Kansas
game_42|Akron
game_43|Minnesota
game_44|Georgetown
game_45|Indiana
game_46|California
game_47|Davidson
game_48|Pacific
game_49|Oklahoma State
game_50|Duke
game_51|Kansas State
game_52|Iona
game_53|Akron
game_54|Minnesota
game_55|California
game_56|Davidson
game_57|Oklahoma State
game_58|Iona
game_59|Minnesota
game_60|Davidson
game_61|Oklahoma State
game_62|Minnesota
game_63|Minnesota
name|Lauren the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
