game_1|NC A&T/Liberty
game_2|Missouri
game_3|New Mexico State
game_4|Oklahoma State
game_5|Valparaiso
game_6|Memphis
game_7|Creighton
game_8|Albany
game_9|Southern
game_10|Pittsburgh
game_11|Kansas State
game_12|Wisconsin
game_13|New Mexico
game_14|Arizona
game_15|Iowa State
game_16|Ohio State
game_17|Kansas
game_18|Villanova
game_19|Michigan
game_20|Akron
game_21|Northwestern State
game_22|Minnesota
game_23|San Diego State
game_24|Florida GC
game_25|Indiana
game_26|Temple
game_27|Montana
game_28|UNLV
game_29|Marquette
game_30|Butler
game_31|Colorado
game_32|Miami
game_33|Missouri
game_34|Oklahoma State
game_35|Memphis
game_36|Creighton
game_37|Southern
game_38|Wisconsin
game_39|Arizona
game_40|Ohio State
game_41|Villanova
game_42|Akron
game_43|Minnesota
game_44|Florida GC
game_45|Temple
game_46|UNLV
game_47|Marquette
game_48|Miami
game_49|Oklahoma State
game_50|Memphis
game_51|Wisconsin
game_52|Arizona
game_53|Villanova
game_54|Minnesota
game_55|Temple
game_56|Marquette
game_57|Memphis
game_58|Wisconsin
game_59|Minnesota
game_60|Temple
game_61|Memphis
game_62|Temple
game_63|Temple
name|Leonel the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
