game_1|Louisville
game_2|Colorado State
game_3|Saint Louis
game_4|Oregon
game_5|Michigan State
game_6|Memphis
game_7|Creighton
game_8|Albany
game_9|Gonzaga
game_10|Pittsburgh
game_11|Boise State/La Salle
game_12|Wisconsin
game_13|Harvard
game_14|Belmont
game_15|Iowa State
game_16|Iona
game_17|Kansas
game_18|North Carolina
game_19|Michigan
game_20|VCU
game_21|Northwestern State
game_22|Minnesota
game_23|Oklahoma
game_24|Georgetown
game_25|Indiana
game_26|NC State
game_27|Montana
game_28|UNLV
game_29|Davidson
game_30|Bucknell
game_31|Colorado
game_32|Miami
game_33|Colorado State
game_34|Saint Louis
game_35|Michigan State
game_36|Albany
game_37|Gonzaga
game_38|Wisconsin
game_39|Harvard
game_40|Iowa State
game_41|North Carolina
game_42|Michigan
game_43|Northwestern State
game_44|Oklahoma
game_45|NC State
game_46|UNLV
game_47|Bucknell
game_48|Colorado
game_49|Colorado State
game_50|Michigan State
game_51|Gonzaga
game_52|Harvard
game_53|Michigan
game_54|Oklahoma
game_55|NC State
game_56|Bucknell
game_57|Colorado State
game_58|Gonzaga
game_59|Michigan
game_60|NC State
game_61|Gonzaga
game_62|NC State
game_63|NC State
name|Margaret the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
