game_1|Louisville
game_2|Missouri
game_3|Saint Louis
game_4|Oklahoma State
game_5|Michigan State
game_6|Memphis
game_7|Cincinnati
game_8|Duke
game_9|Gonzaga
game_10|Pittsburgh
game_11|Boise State/La Salle
game_12|Ole Miss
game_13|New Mexico
game_14|Arizona
game_15|Notre Dame
game_16|Ohio State
game_17|Kansas
game_18|North Carolina
game_19|South Dakota State
game_20|VCU
game_21|Florida
game_22|UCLA
game_23|Oklahoma
game_24|Georgetown
game_25|Indiana
game_26|NC State
game_27|Syracuse
game_28|California
game_29|Marquette
game_30|Butler
game_31|Colorado
game_32|Miami
game_33|Missouri
game_34|Oklahoma State
game_35|Michigan State
game_36|Cincinnati
game_37|Gonzaga
game_38|Boise State/La Salle
game_39|Arizona
game_40|Ohio State
game_41|Kansas
game_42|VCU
game_43|UCLA
game_44|Oklahoma
game_45|Indiana
game_46|California
game_47|Marquette
game_48|Miami
game_49|Oklahoma State
game_50|Cincinnati
game_51|Gonzaga
game_52|Ohio State
game_53|VCU
game_54|Oklahoma
game_55|California
game_56|Marquette
game_57|Cincinnati
game_58|Ohio State
game_59|VCU
game_60|Marquette
game_61|Cincinnati
game_62|VCU
game_63|VCU
name|Mary the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
