game_1|Louisville
game_2|Missouri
game_3|Saint Louis
game_4|Oregon
game_5|Michigan State
game_6|Middle Tenn/St Marys
game_7|Creighton
game_8|Duke
game_9|Southern
game_10|Pittsburgh
game_11|Boise State/La Salle
game_12|Wisconsin
game_13|Harvard
game_14|Belmont
game_15|Notre Dame
game_16|Iona
game_17|Western Kentucky
game_18|Villanova
game_19|South Dakota State
game_20|VCU
game_21|Florida
game_22|UCLA
game_23|San Diego State
game_24|Georgetown
game_25|Indiana
game_26|Temple
game_27|Montana
game_28|UNLV
game_29|Davidson
game_30|Bucknell
game_31|Illinois
game_32|Pacific
game_33|Missouri
game_34|Saint Louis
game_35|Michigan State
game_36|Duke
game_37|Southern
game_38|Wisconsin
game_39|Harvard
game_40|Iona
game_41|Western Kentucky
game_42|VCU
game_43|Florida
game_44|Georgetown
game_45|Temple
game_46|UNLV
game_47|Davidson
game_48|Pacific
game_49|Saint Louis
game_50|Michigan State
game_51|Wisconsin
game_52|Iona
game_53|Western Kentucky
game_54|Georgetown
game_55|UNLV
game_56|Pacific
game_57|Michigan State
game_58|Iona
game_59|Georgetown
game_60|UNLV
game_61|Michigan State
game_62|Georgetown
game_63|Michigan State
name|Mia the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
