game_1|Louisville
game_2|Colorado State
game_3|Saint Louis
game_4|Oklahoma State
game_5|Michigan State
game_6|Memphis
game_7|Creighton
game_8|Duke
game_9|Gonzaga
game_10|Pittsburgh
game_11|Kansas State
game_12|Ole Miss
game_13|Harvard
game_14|Arizona
game_15|Notre Dame
game_16|Ohio State
game_17|Western Kentucky
game_18|North Carolina
game_19|Michigan
game_20|Akron
game_21|Northwestern State
game_22|UCLA
game_23|San Diego State
game_24|Florida GC
game_25|LIU/James Madison
game_26|NC State
game_27|Montana
game_28|California
game_29|Davidson
game_30|Bucknell
game_31|Illinois
game_32|Miami
game_33|Colorado State
game_34|Saint Louis
game_35|Michigan State
game_36|Creighton
game_37|Gonzaga
game_38|Ole Miss
game_39|Arizona
game_40|Ohio State
game_41|Western Kentucky
game_42|Akron
game_43|UCLA
game_44|San Diego State
game_45|LIU/James Madison
game_46|California
game_47|Davidson
game_48|Miami
game_49|Colorado State
game_50|Michigan State
game_51|Gonzaga
game_52|Ohio State
game_53|Western Kentucky
game_54|UCLA
game_55|California
game_56|Miami
game_57|Colorado State
game_58|Gonzaga
game_59|Western Kentucky
game_60|California
game_61|Gonzaga
game_62|Western Kentucky
game_63|Western Kentucky
name|Mikayla the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
