game_1|NC A&T/Liberty
game_2|Missouri
game_3|Saint Louis
game_4|Oklahoma State
game_5|Michigan State
game_6|Memphis
game_7|Creighton
game_8|Albany
game_9|Gonzaga
game_10|Wichita State
game_11|Kansas State
game_12|Ole Miss
game_13|Harvard
game_14|Belmont
game_15|Iowa State
game_16|Iona
game_17|Western Kentucky
game_18|Villanova
game_19|Michigan
game_20|VCU
game_21|Northwestern State
game_22|Minnesota
game_23|San Diego State
game_24|Georgetown
game_25|Indiana
game_26|Temple
game_27|Syracuse
game_28|California
game_29|Marquette
game_30|Butler
game_31|Colorado
game_32|Pacific
game_33|Missouri
game_34|Oklahoma State
game_35|Michigan State
game_36|Albany
game_37|Gonzaga
game_38|Ole Miss
game_39|Belmont
game_40|Iona
game_41|Western Kentucky
game_42|VCU
game_43|Minnesota
game_44|Georgetown
game_45|Indiana
game_46|Syracuse
game_47|Marquette
game_48|Pacific
game_49|Missouri
game_50|Michigan State
game_51|Gonzaga
game_52|Belmont
game_53|VCU
game_54|Georgetown
game_55|Syracuse
game_56|Pacific
game_57|Michigan State
game_58|Belmont
game_59|Georgetown
game_60|Syracuse
game_61|Michigan State
game_62|Georgetown
game_63|Georgetown
name|Nyla the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
