game_1|Louisville
game_2|Missouri
game_3|New Mexico State
game_4|Oklahoma State
game_5|Michigan State
game_6|Memphis
game_7|Cincinnati
game_8|Duke
game_9|Southern
game_10|Wichita State
game_11|Kansas State
game_12|Wisconsin
game_13|Harvard
game_14|Belmont
game_15|Iowa State
game_16|Iona
game_17|Kansas
game_18|Villanova
game_19|Michigan
game_20|VCU
game_21|Northwestern State
game_22|Minnesota
game_23|Oklahoma
game_24|Florida GC
game_25|LIU/James Madison
game_26|NC State
game_27|Montana
game_28|California
game_29|Marquette
game_30|Butler
game_31|Colorado
game_32|Pacific
game_33|Missouri
game_34|New Mexico State
game_35|Memphis
game_36|Duke
game_37|Wichita State
game_38|Wisconsin
game_39|Harvard
game_40|Iona
game_41|Villanova
game_42|VCU
game_43|Northwestern State
game_44|Florida GC
game_45|LIU/James Madison
game_46|Montana
game_47|Butler
game_48|Pacific
game_49|New Mexico State
game_50|Memphis
game_51|Wisconsin
game_52|Harvard
game_53|Villanova
game_54|Northwestern State
game_55|LIU/James Madison
game_56|Butler
game_57|Memphis
game_58|Harvard
game_59|Villanova
game_60|Butler
game_61|Memphis
game_62|Villanova
game_63|Villanova
name|Oliver the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
