game_1|NC A&T/Liberty
game_2|Colorado State
game_3|New Mexico State
game_4|Oregon
game_5|Valparaiso
game_6|Middle Tenn/St Marys
game_7|Cincinnati
game_8|Albany
game_9|Southern
game_10|Pittsburgh
game_11|Boise State/La Salle
game_12|Ole Miss
game_13|New Mexico
game_14|Arizona
game_15|Iowa State
game_16|Ohio State
game_17|Western Kentucky
game_18|North Carolina
game_19|Michigan
game_20|VCU
game_21|Florida
game_22|Minnesota
game_23|San Diego State
game_24|Florida GC
game_25|LIU/James Madison
game_26|Temple
game_27|Syracuse
game_28|California
game_29|Marquette
game_30|Butler
game_31|Colorado
game_32|Miami
game_33|Colorado State
game_34|Oregon
game_35|Middle Tenn/St Marys
game_36|Albany
game_37|Pittsburgh
game_38|Ole Miss
game_39|New Mexico
game_40|Iowa State
game_41|Western Kentucky
game_42|Michigan
game_43|Minnesota
game_44|Florida GC
game_45|LIU/James Madison
game_46|California
game_47|Butler
game_48|Colorado
game_49|Colorado State
game_50|Middle Tenn/St Marys
game_51|Ole Miss
game_52|New Mexico
game_53|Michigan
game_54|Florida GC
game_55|California
game_56|Colorado
game_57|Middle Tenn/St Marys
game_58|Ole Miss
game_59|Florida GC
game_60|California
game_61|Ole Miss
game_62|California
game_63|Ole Miss
name|Rahul the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
