game_1|Louisville
game_2|Colorado State
game_3|New Mexico State
game_4|Oregon
game_5|Michigan State
game_6|Middle Tenn/St Marys
game_7|Creighton
game_8|Albany
game_9|Gonzaga
game_10|Pittsburgh
game_11|Kansas State
game_12|Wisconsin
game_13|Harvard
game_14|Belmont
game_15|Iowa State
game_16|Ohio State
game_17|Western Kentucky
game_18|Villanova
game_19|South Dakota State
game_20|Akron
game_21|Northwestern State
game_22|UCLA
game_23|San Diego State
game_24|Florida GC
game_25|Indiana
game_26|Temple
game_27|Montana
game_28|UNLV
game_29|Davidson
game_30|Bucknell
game_31|Illinois
game_32|Pacific
game_33|Colorado State
game_34|Oregon
game_35|Middle Tenn/St Marys
game_36|Creighton
game_37|Pittsburgh
game_38|Wisconsin
game_39|Belmont
game_40|Ohio State
game_41|Villanova
game_42|Akron
game_43|Northwestern State
game_44|San Diego State
game_45|Temple
game_46|UNLV
game_47|Davidson
game_48|Illinois
game_49|Oregon
game_50|Middle Tenn/St Marys
game_51|Pittsburgh
game_52|Ohio State
game_53|Villanova
game_54|Northwestern State
game_55|Temple
game_56|Davidson
game_57|Middle Tenn/St Marys
game_58|Ohio State
game_59|Villanova
game_60|Davidson
game_61|Middle Tenn/St Marys
game_62|Villanova
game_63|Villanova
name|Rigoberto the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
