game_1|NC A&T/Liberty
game_2|Colorado State
game_3|New Mexico State
game_4|Oregon
game_5|Michigan State
game_6|Memphis
game_7|Creighton
game_8|Duke
game_9|Southern
game_10|Wichita State
game_11|Kansas State
game_12|Ole Miss
game_13|Harvard
game_14|Arizona
game_15|Notre Dame
game_16|Ohio State
game_17|Kansas
game_18|North Carolina
game_19|Michigan
game_20|VCU
game_21|Florida
game_22|Minnesota
game_23|San Diego State
game_24|Georgetown
game_25|LIU/James Madison
game_26|Temple
game_27|Montana
game_28|California
game_29|Marquette
game_30|Butler
game_31|Colorado
game_32|Pacific
game_33|Colorado State
game_34|Oregon
game_35|Memphis
game_36|Duke
game_37|Southern
game_38|Kansas State
game_39|Arizona
game_40|Notre Dame
game_41|North Carolina
game_42|Michigan
game_43|Minnesota
game_44|Georgetown
game_45|LIU/James Madison
game_46|California
game_47|Butler
game_48|Colorado
game_49|Oregon
game_50|Memphis
game_51|Southern
game_52|Arizona
game_53|Michigan
game_54|Minnesota
game_55|California
game_56|Butler
game_57|Oregon
game_58|Arizona
game_59|Minnesota
game_60|California
game_61|Oregon
game_62|Minnesota
game_63|Oregon
name|Rodney the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
