game_1|NC A&T/Liberty
game_2|Colorado State
game_3|Saint Louis
game_4|Oregon
game_5|Valparaiso
game_6|Middle Tenn/St Marys
game_7|Creighton
game_8|Albany
game_9|Southern
game_10|Pittsburgh
game_11|Boise State/La Salle
game_12|Ole Miss
game_13|Harvard
game_14|Arizona
game_15|Notre Dame
game_16|Iona
game_17|Kansas
game_18|Villanova
game_19|Michigan
game_20|VCU
game_21|Florida
game_22|Minnesota
game_23|San Diego State
game_24|Georgetown
game_25|LIU/James Madison
game_26|NC State
game_27|Montana
game_28|UNLV
game_29|Marquette
game_30|Butler
game_31|Illinois
game_32|Miami
game_33|Colorado State
game_34|Oregon
game_35|Valparaiso
game_36|Albany
game_37|Pittsburgh
game_38|Boise State/La Salle
game_39|Harvard
game_40|Notre Dame
game_41|Kansas
game_42|VCU
game_43|Florida
game_44|Georgetown
game_45|LIU/James Madison
game_46|UNLV
game_47|Marquette
game_48|Miami
game_49|Colorado State
game_50|Albany
game_51|Pittsburgh
game_52|Harvard
game_53|VCU
game_54|Florida
game_55|UNLV
game_56|Marquette
game_57|Colorado State
game_58|Harvard
game_59|Florida
game_60|Marquette
game_61|Harvard
game_62|Marquette
game_63|Marquette
name|Rodolfo the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
