game_1|Louisville
game_2|Missouri
game_3|New Mexico State
game_4|Oregon
game_5|Michigan State
game_6|Memphis
game_7|Creighton
game_8|Albany
game_9|Southern
game_10|Wichita State
game_11|Kansas State
game_12|Wisconsin
game_13|Harvard
game_14|Arizona
game_15|Notre Dame
game_16|Iona
game_17|Kansas
game_18|Villanova
game_19|Michigan
game_20|VCU
game_21|Northwestern State
game_22|UCLA
game_23|Oklahoma
game_24|Georgetown
game_25|LIU/James Madison
game_26|NC State
game_27|Syracuse
game_28|UNLV
game_29|Marquette
game_30|Butler
game_31|Colorado
game_32|Miami
game_33|Missouri
game_34|Oregon
game_35|Memphis
game_36|Creighton
game_37|Southern
game_38|Wisconsin
game_39|Arizona
game_40|Iona
game_41|Villanova
game_42|VCU
game_43|UCLA
game_44|Georgetown
game_45|NC State
game_46|Syracuse
game_47|Marquette
game_48|Colorado
game_49|Oregon
game_50|Creighton
game_51|Wisconsin
game_52|Arizona
game_53|Villanova
game_54|UCLA
game_55|Syracuse
game_56|Colorado
game_57|Oregon
game_58|Wisconsin
game_59|Villanova
game_60|Syracuse
game_61|Wisconsin
game_62|Villanova
game_63|Villanova
name|Rylan the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
