game_1|Louisville
game_2|Missouri
game_3|New Mexico State
game_4|Oklahoma State
game_5|Valparaiso
game_6|Middle Tenn/St Marys
game_7|Creighton
game_8|Albany
game_9|Gonzaga
game_10|Wichita State
game_11|Kansas State
game_12|Ole Miss
game_13|New Mexico
game_14|Belmont
game_15|Notre Dame
game_16|Iona
game_17|Western Kentucky
game_18|Villanova
game_19|Michigan
game_20|Akron
game_21|Florida
game_22|UCLA
game_23|Oklahoma
game_24|Florida GC
game_25|Indiana
game_26|Temple
game_27|Syracuse
game_28|California
game_29|Davidson
game_30|Bucknell
game_31|Illinois
game_32|Miami
game_33|Missouri
game_34|New Mexico State
game_35|Valparaiso
game_36|Creighton
game_37|Gonzaga
game_38|Ole Miss
game_39|New Mexico
game_40|Notre Dame
game_41|Western Kentucky
game_42|Akron
game_43|Florida
game_44|Oklahoma
game_45|Temple
game_46|Syracuse
game_47|Bucknell
game_48|Illinois
game_49|Missouri
game_50|Valparaiso
game_51|Gonzaga
game_52|New Mexico
game_53|Akron
game_54|Florida
game_55|Temple
game_56|Bucknell
game_57|Valparaiso
game_58|New Mexico
game_59|Florida
game_60|Temple
game_61|Valparaiso
game_62|Florida
game_63|Florida
name|Sandra the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
