game_1|NC A&T/Liberty
game_2|Colorado State
game_3|Saint Louis
game_4|Oklahoma State
game_5|Michigan State
game_6|Middle Tenn/St Marys
game_7|Cincinnati
game_8|Albany
game_9|Southern
game_10|Wichita State
game_11|Kansas State
game_12|Ole Miss
game_13|Harvard
game_14|Belmont
game_15|Notre Dame
game_16|Ohio State
game_17|Western Kentucky
game_18|North Carolina
game_19|Michigan
game_20|Akron
game_21|Florida
game_22|UCLA
game_23|San Diego State
game_24|Georgetown
game_25|Indiana
game_26|NC State
game_27|Montana
game_28|UNLV
game_29|Marquette
game_30|Butler
game_31|Colorado
game_32|Pacific
game_33|Colorado State
game_34|Oklahoma State
game_35|Middle Tenn/St Marys
game_36|Cincinnati
game_37|Wichita State
game_38|Ole Miss
game_39|Belmont
game_40|Notre Dame
game_41|Western Kentucky
game_42|Michigan
game_43|UCLA
game_44|Georgetown
game_45|Indiana
game_46|UNLV
game_47|Marquette
game_48|Colorado
game_49|Oklahoma State
game_50|Cincinnati
game_51|Wichita State
game_52|Belmont
game_53|Western Kentucky
game_54|Georgetown
game_55|Indiana
game_56|Colorado
game_57|Cincinnati
game_58|Belmont
game_59|Western Kentucky
game_60|Colorado
game_61|Belmont
game_62|Colorado
game_63|Belmont
name|Santiago the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
