game_1|NC A&T/Liberty
game_2|Missouri
game_3|Saint Louis
game_4|Oklahoma State
game_5|Valparaiso
game_6|Memphis
game_7|Cincinnati
game_8|Albany
game_9|Southern
game_10|Wichita State
game_11|Boise State/La Salle
game_12|Ole Miss
game_13|Harvard
game_14|Arizona
game_15|Iowa State
game_16|Iona
game_17|Western Kentucky
game_18|North Carolina
game_19|South Dakota State
game_20|Akron
game_21|Northwestern State
game_22|UCLA
game_23|Oklahoma
game_24|Florida GC
game_25|Indiana
game_26|Temple
game_27|Syracuse
game_28|UNLV
game_29|Marquette
game_30|Butler
game_31|Colorado
game_32|Pacific
game_33|Missouri
game_34|Saint Louis
game_35|Valparaiso
game_36|Albany
game_37|Wichita State
game_38|Ole Miss
game_39|Harvard
game_40|Iona
game_41|Western Kentucky
game_42|Akron
game_43|Northwestern State
game_44|Oklahoma
game_45|Indiana
game_46|Syracuse
game_47|Marquette
game_48|Pacific
game_49|Saint Louis
game_50|Valparaiso
game_51|Ole Miss
game_52|Iona
game_53|Western Kentucky
game_54|Northwestern State
game_55|Indiana
game_56|Pacific
game_57|Valparaiso
game_58|Iona
game_59|Northwestern State
game_60|Pacific
game_61|Iona
game_62|Northwestern State
game_63|Iona
name|Saul the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
