game_1|NC A&T/Liberty
game_2|Missouri
game_3|New Mexico State
game_4|Oklahoma State
game_5|Michigan State
game_6|Middle Tenn/St Marys
game_7|Cincinnati
game_8|Duke
game_9|Southern
game_10|Wichita State
game_11|Boise State/La Salle
game_12|Wisconsin
game_13|New Mexico
game_14|Belmont
game_15|Notre Dame
game_16|Iona
game_17|Kansas
game_18|North Carolina
game_19|South Dakota State
game_20|VCU
game_21|Florida
game_22|Minnesota
game_23|San Diego State
game_24|Florida GC
game_25|LIU/James Madison
game_26|Temple
game_27|Syracuse
game_28|California
game_29|Davidson
game_30|Bucknell
game_31|Illinois
game_32|Pacific
game_33|Missouri
game_34|Oklahoma State
game_35|Middle Tenn/St Marys
game_36|Cincinnati
game_37|Southern
game_38|Boise State/La Salle
game_39|Belmont
game_40|Notre Dame
game_41|North Carolina
game_42|VCU
game_43|Minnesota
game_44|San Diego State
game_45|Temple
game_46|California
game_47|Davidson
game_48|Pacific
game_49|Oklahoma State
game_50|Middle Tenn/St Marys
game_51|Southern
game_52|Belmont
game_53|VCU
game_54|Minnesota
game_55|Temple
game_56|Pacific
game_57|Middle Tenn/St Marys
game_58|Belmont
game_59|Minnesota
game_60|Temple
game_61|Belmont
game_62|Minnesota
game_63|Minnesota
name|Serena the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
