game_1|Louisville
game_2|Missouri
game_3|New Mexico State
game_4|Oklahoma State
game_5|Michigan State
game_6|Middle Tenn/St Marys
game_7|Creighton
game_8|Duke
game_9|Southern
game_10|Wichita State
game_11|Kansas State
game_12|Ole Miss
game_13|New Mexico
game_14|Arizona
game_15|Iowa State
game_16|Iona
game_17|Western Kentucky
game_18|North Carolina
game_19|South Dakota State
game_20|Akron
game_21|Florida
game_22|UCLA
game_23|Oklahoma
game_24|Georgetown
game_25|Indiana
game_26|NC State
game_27|Montana
game_28|UNLV
game_29|Marquette
game_30|Bucknell
game_31|Colorado
game_32|Miami
game_33|Missouri
game_34|Oklahoma State
game_35|Michigan State
game_36|Duke
game_37|Wichita State
game_38|Ole Miss
game_39|Arizona
game_40|Iona
game_41|North Carolina
game_42|South Dakota State
game_43|Florida
game_44|Georgetown
game_45|NC State
game_46|UNLV
game_47|Marquette
game_48|Colorado
game_49|Missouri
game_50|Michigan State
game_51|Ole Miss
game_52|Iona
game_53|North Carolina
game_54|Florida
game_55|UNLV
game_56|Marquette
game_57|Michigan State
game_58|Ole Miss
game_59|North Carolina
game_60|UNLV
game_61|Michigan State
game_62|North Carolina
game_63|North Carolina
name|Shawn the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
