game_1|NC A&T/Liberty
game_2|Missouri
game_3|Saint Louis
game_4|Oklahoma State
game_5|Valparaiso
game_6|Memphis
game_7|Creighton
game_8|Albany
game_9|Gonzaga
game_10|Wichita State
game_11|Boise State/La Salle
game_12|Wisconsin
game_13|New Mexico
game_14|Belmont
game_15|Notre Dame
game_16|Iona
game_17|Western Kentucky
game_18|North Carolina
game_19|Michigan
game_20|Akron
game_21|Florida
game_22|UCLA
game_23|Oklahoma
game_24|Georgetown
game_25|LIU/James Madison
game_26|Temple
game_27|Syracuse
game_28|California
game_29|Davidson
game_30|Butler
game_31|Illinois
game_32|Miami
game_33|Missouri
game_34|Saint Louis
game_35|Memphis
game_36|Albany
game_37|Gonzaga
game_38|Boise State/La Salle
game_39|New Mexico
game_40|Iona
game_41|Western Kentucky
game_42|Akron
game_43|UCLA
game_44|Oklahoma
game_45|LIU/James Madison
game_46|California
game_47|Butler
game_48|Miami
game_49|Saint Louis
game_50|Albany
game_51|Gonzaga
game_52|Iona
game_53|Western Kentucky
game_54|UCLA
game_55|California
game_56|Miami
game_57|Saint Louis
game_58|Iona
game_59|UCLA
game_60|Miami
game_61|Saint Louis
game_62|Miami
game_63|Miami
name|Shea the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
