game_1|Louisville
game_2|Colorado State
game_3|Saint Louis
game_4|Oklahoma State
game_5|Valparaiso
game_6|Memphis
game_7|Creighton
game_8|Albany
game_9|Southern
game_10|Wichita State
game_11|Boise State/La Salle
game_12|Ole Miss
game_13|Harvard
game_14|Arizona
game_15|Notre Dame
game_16|Iona
game_17|Kansas
game_18|North Carolina
game_19|Michigan
game_20|VCU
game_21|Northwestern State
game_22|Minnesota
game_23|San Diego State
game_24|Florida GC
game_25|LIU/James Madison
game_26|NC State
game_27|Syracuse
game_28|UNLV
game_29|Marquette
game_30|Bucknell
game_31|Illinois
game_32|Miami
game_33|Colorado State
game_34|Oklahoma State
game_35|Valparaiso
game_36|Albany
game_37|Wichita State
game_38|Boise State/La Salle
game_39|Harvard
game_40|Notre Dame
game_41|North Carolina
game_42|VCU
game_43|Northwestern State
game_44|San Diego State
game_45|NC State
game_46|UNLV
game_47|Bucknell
game_48|Miami
game_49|Oklahoma State
game_50|Valparaiso
game_51|Wichita State
game_52|Notre Dame
game_53|VCU
game_54|San Diego State
game_55|NC State
game_56|Bucknell
game_57|Valparaiso
game_58|Wichita State
game_59|VCU
game_60|Bucknell
game_61|Valparaiso
game_62|VCU
game_63|VCU
name|Syed the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
