game_1|Louisville
game_2|Missouri
game_3|New Mexico State
game_4|Oklahoma State
game_5|Michigan State
game_6|Memphis
game_7|Cincinnati
game_8|Duke
game_9|Gonzaga
game_10|Pittsburgh
game_11|Boise State/La Salle
game_12|Ole Miss
game_13|New Mexico
game_14|Belmont
game_15|Iowa State
game_16|Iona
game_17|Kansas
game_18|North Carolina
game_19|Michigan
game_20|VCU
game_21|Northwestern State
game_22|Minnesota
game_23|Oklahoma
game_24|Florida GC
game_25|LIU/James Madison
game_26|Temple
game_27|Montana
game_28|UNLV
game_29|Marquette
game_30|Bucknell
game_31|Colorado
game_32|Miami
game_33|Missouri
game_34|Oklahoma State
game_35|Memphis
game_36|Cincinnati
game_37|Gonzaga
game_38|Ole Miss
game_39|New Mexico
game_40|Iona
game_41|Kansas
game_42|Michigan
game_43|Northwestern State
game_44|Florida GC
game_45|LIU/James Madison
game_46|Montana
game_47|Marquette
game_48|Miami
game_49|Oklahoma State
game_50|Memphis
game_51|Ole Miss
game_52|Iona
game_53|Kansas
game_54|Florida GC
game_55|Montana
game_56|Miami
game_57|Oklahoma State
game_58|Iona
game_59|Kansas
game_60|Montana
game_61|Oklahoma State
game_62|Montana
game_63|Oklahoma State
name|Tate the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
