game_1|Louisville
game_2|Colorado State
game_3|Saint Louis
game_4|Oklahoma State
game_5|Michigan State
game_6|Middle Tenn/St Marys
game_7|Cincinnati
game_8|Albany
game_9|Gonzaga
game_10|Wichita State
game_11|Kansas State
game_12|Wisconsin
game_13|New Mexico
game_14|Belmont
game_15|Iowa State
game_16|Ohio State
game_17|Western Kentucky
game_18|North Carolina
game_19|Michigan
game_20|Akron
game_21|Northwestern State
game_22|Minnesota
game_23|Oklahoma
game_24|Georgetown
game_25|Indiana
game_26|NC State
game_27|Montana
game_28|UNLV
game_29|Marquette
game_30|Butler
game_31|Colorado
game_32|Pacific
game_33|Colorado State
game_34|Saint Louis
game_35|Michigan State
game_36|Albany
game_37|Gonzaga
game_38|Wisconsin
game_39|Belmont
game_40|Ohio State
game_41|North Carolina
game_42|Michigan
game_43|Northwestern State
game_44|Georgetown
game_45|NC State
game_46|Montana
game_47|Marquette
game_48|Pacific
game_49|Saint Louis
game_50|Albany
game_51|Gonzaga
game_52|Ohio State
game_53|North Carolina
game_54|Georgetown
game_55|Montana
game_56|Marquette
game_57|Albany
game_58|Ohio State
game_59|North Carolina
game_60|Marquette
game_61|Albany
game_62|Marquette
game_63|Albany
name|Timothy the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
